KU	d8:84:66:11:56:d9	-57	2437
KU	d8:84:66:0a:e5:38	-73	2412
GUEST	d8:84:66:10:3d:d8	-53	2462
GUEST	d8:84:66:0a:c9:59	-72	2462
GUEST	d8:84:66:11:39:48	-62	2462
GUEST	d8:84:66:11:56:d8	-58	2437
GUEST	d8:84:66:0a:e5:39	-74	2412
wireless	06:d0:0b:d0:76:28	-68	2412
KU	d8:84:66:0a:c9:58	-74	2462
GUEST	d8:84:66:11:38:58	-74	2462
KU	d8:84:66:11:38:59	-78	2462
KU	d8:84:66:13:65:09	-75	2462
KU	d8:84:66:11:31:b9	-79	2462
GUEST	d8:84:66:13:65:08	-76	2462
GUEST	d8:84:66:11:31:b8	-79	2462
000000
KU	d8:84:66:11:39:49	-58	2462
KU	d8:84:66:10:3d:d9	-45	2462
KU	d8:84:66:11:56:d9	-59	2437
KU	d8:84:66:0a:e5:38	-64	2412
GUEST	d8:84:66:10:3d:d8	-42	2462
GUEST	d8:84:66:0a:c9:59	-72	2462
GUEST	d8:84:66:11:39:48	-58	2462
GUEST	d8:84:66:11:56:d8	-58	2437
GUEST	d8:84:66:0a:e5:39	-64	2412
wireless	06:d0:0b:d0:76:28	-62	2412
KU	d8:84:66:0a:c9:58	-72	2462
GUEST	d8:84:66:11:38:58	-80	2462
KU	d8:84:66:11:38:59	-76	2462
KU	d8:84:66:13:65:09	-75	2462
KU	d8:84:66:11:31:b9	-76	2462
GUEST	d8:84:66:13:65:08	-76	2462
GUEST	d8:84:66:11:31:b8	-77	2462
KU	d8:84:66:10:3c:d9	-74	2437
GUEST	d8:84:66:10:3c:d8	-75	2437
000000
KU	d8:84:66:11:39:49	-59	2462
KU	d8:84:66:10:3d:d9	-44	2462
KU	d8:84:66:11:56:d9	-62	2437
KU	d8:84:66:0a:e5:38	-67	2412
GUEST	d8:84:66:10:3d:d8	-45	2462
GUEST	d8:84:66:0a:c9:59	-72	2462
GUEST	d8:84:66:11:39:48	-59	2462
GUEST	d8:84:66:11:56:d8	-62	2437
GUEST	d8:84:66:0a:e5:39	-66	2412
wireless	06:d0:0b:d0:76:28	-56	2412
KU	d8:84:66:0a:c9:58	-72	2462
GUEST	d8:84:66:11:38:58	-80	2462
KU	d8:84:66:11:38:59	-82	2462
KU	d8:84:66:11:31:b9	-79	2462
GUEST	d8:84:66:13:65:08	-76	2462
