KU	d8:84:66:13:6d:69	-50
GUEST	d8:84:66:5c:76:78	-65
GUEST	d8:84:66:13:6d:68	-50
KU	d8:84:66:39:6c:19	-80
GUEST	d8:84:66:39:6c:18	-79
KU	d8:84:66:11:42:d9	-65
GUEST	d8:84:66:11:42:d8	-65
GUEST	d8:84:66:13:6b:68	-80
KU	d8:84:66:71:27:19	-66
GUEST	d8:84:66:71:27:18	-66
GUEST	d8:84:66:10:3e:38	-66
GUEST	d8:84:66:11:48:78	-32
eduroam	d8:84:66:13:6d:61	-60
KU	d8:84:66:13:6d:60	-60
eduroam	d8:84:66:5c:76:71	-76
KU	d8:84:66:5c:76:70	-76
